State,Petrol_Rate,Diesel_Rate,Date
Manipur,100.08,84.49,2021-11-09
Meghalaya,93.09,80.07,2021-11-09
Mizoram,94.5,79.55,2021-11-09
Nagaland,96.92,83.68,2021-11-09
Odisha,103.54,93.28,2021-11-09
Pondicherry,94.69,83.39,2021-11-09
Punjab,95.63,84.42,2021-11-09
Rajasthan,111.5,96.08,2021-11-09
Sikkim,97.7,82.25,2021-11-09
Tamil Nadu,102.37,92.41,2021-11-09
Telangana,110.8,97.04,2021-11-09
Tripura,97.71,85.13,2021-11-09
Uttar Pradesh,94.83,86.31,2021-11-09
Uttarakhand,94.3,87.68,2021-11-09
West Bengal,105.5,90.54,2021-11-09
Andaman And Nicobar,82.96,77.13,2021-11-11
Andhra Pradesh,110.46,96.54,2021-11-11
Arunachal Pradesh,94.38,81.85,2021-11-11
Assam,94.95,81.57,2021-11-11
Bihar,107.88,92.92,2021-11-11
Chandigarh,94.23,80.9,2021-11-11
Chhatisgarh,102.56,94.45,2021-11-11
Dadra And Nagar Haveli,93.38,87.25,2021-11-11
Daman And Diu,93.1,86.97,2021-11-11
Delhi,103.97,86.67,2021-11-11
Goa,96.23,87.12,2021-11-11
Gujarat,95.13,89.12,2021-11-11
Haryana,95.27,86.51,2021-11-11
Himachal Pradesh,94.77,79.59,2021-11-11
Jammu And Kashmir,99.33,83.07,2021-11-11
Jharkhand,98.72,91.75,2021-11-11
Karnataka,101.28,85.67,2021-11-11
Kerala,105.28,92.46,2021-11-11
Madhya Pradesh,108.18,91.74,2021-11-11
Maharashtra,110.23,93.0,2021-11-11
Manipur,99.77,84.21,2021-11-11
Meghalaya,93.09,80.07,2021-11-11
Mizoram,94.5,79.55,2021-11-11
Nagaland,96.92,83.68,2021-11-11
Odisha,103.81,93.54,2021-11-11
Pondicherry,94.65,83.34,2021-11-11
Punjab,95.44,84.24,2021-11-11
Rajasthan,111.32,95.91,2021-11-11
Sikkim,98.5,83.55,2021-11-11
Tamil Nadu,102.41,92.45,2021-11-11
Telangana,110.8,97.04,2021-11-11
Tripura,97.71,85.13,2021-11-11
Uttar Pradesh,95.05,86.56,2021-11-11
Uttarakhand,94.09,87.52,2021-11-11
West Bengal,106.19,91.19,2021-11-11
Andaman And Nicobar,82.96,77.13,2021-11-12
Andhra Pradesh,110.25,96.35,2021-11-12
Arunachal Pradesh,94.84,82.28,2021-11-12
Assam,95.26,81.8,2021-11-12
Bihar,107.88,92.92,2021-11-12
Chandigarh,94.23,80.9,2021-11-12
Chhatisgarh,102.54,94.43,2021-11-12
Dadra And Nagar Haveli,93.21,87.09,2021-11-12
Daman And Diu,93.1,86.97,2021-11-12
Delhi,103.97,86.67,2021-11-12
Goa,96.41,87.3,2021-11-12
Gujarat,95.36,89.35,2021-11-12
Haryana,95.5,86.71,2021-11-12
Himachal Pradesh,94.42,79.32,2021-11-12
Jammu And Kashmir,100.1,83.71,2021-11-12
Jharkhand,99.08,92.11,2021-11-12
Karnataka,101.08,85.49,2021-11-12
Kerala,104.43,91.66,2021-11-12
Madhya Pradesh,108.16,91.74,2021-11-12
Maharashtra,110.48,93.25,2021-11-12
Manipur,99.87,84.3,2021-11-12
Meghalaya,93.93,80.78,2021-11-12
Mizoram,94.09,79.18,2021-11-12
Nagaland,96.92,83.68,2021-11-12
Odisha,103.28,93.03,2021-11-12
Pondicherry,94.65,83.34,2021-11-12
Punjab,95.71,84.5,2021-11-12
Rajasthan,110.73,95.37,2021-11-12
Sikkim,98.5,83.55,2021-11-12
Tamil Nadu,102.67,92.71,2021-11-12
Telangana,110.6,96.86,2021-11-12
Tripura,97.71,85.13,2021-11-12
Uttar Pradesh,95.2,86.7,2021-11-12
Uttarakhand,94.26,87.54,2021-11-12
West Bengal,105.93,90.95,2021-11-12
Andaman And Nicobar,82.96,77.13,2021-11-14
Andhra Pradesh,110.12,96.23,2021-11-14
Arunachal Pradesh,94.64,82.1,2021-11-14
Assam,95.26,81.8,2021-11-14
Bihar,108.4,93.41,2021-11-14
Chandigarh,94.23,80.9,2021-11-14
Chhatisgarh,102.43,94.33,2021-11-14
Dadra And Nagar Haveli,93.21,87.09,2021-11-14
Daman And Diu,93.1,86.97,2021-11-14
Delhi,103.97,86.67,2021-11-14
Goa,96.55,87.43,2021-11-14
Gujarat,95.49,89.48,2021-11-14
Haryana,95.3,86.53,2021-11-14
Himachal Pradesh,94.47,79.36,2021-11-14
Jammu And Kashmir,99.41,83.14,2021-11-14
Jharkhand,99.08,92.11,2021-11-14
Karnataka,101.08,85.49,2021-11-14
Kerala,104.67,91.89,2021-11-14
Madhya Pradesh,108.06,91.65,2021-11-14
Maharashtra,109.56,92.36,2021-11-14
Manipur,99.77,84.21,2021-11-14
Meghalaya,93.09,80.07,2021-11-14
Mizoram,94.26,79.33,2021-11-14
Nagaland,96.81,83.59,2021-11-14
Odisha,103.81,93.54,2021-11-14
Pondicherry,94.65,83.34,2021-11-14
Punjab,95.63,84.42,2021-11-14
Rajasthan,111.32,95.91,2021-11-14
Sikkim,98.5,83.55,2021-11-14
Tamil Nadu,102.31,92.36,2021-11-14
Telangana,110.58,96.84,2021-11-14
Tripura,97.71,85.13,2021-11-14
Uttar Pradesh,95.07,86.58,2021-11-14
Uttarakhand,94.26,87.49,2021-11-14
West Bengal,105.74,90.77,2021-11-14
Andaman And Nicobar,82.96,77.13,2021-11-16
Andhra Pradesh,110.6,96.68,2021-11-16
Arunachal Pradesh,94.38,81.85,2021-11-16
Assam,94.95,81.57,2021-11-16
Bihar,108.4,93.41,2021-11-16
Chandigarh,94.23,80.9,2021-11-16
Chhatisgarh,102.61,94.5,2021-11-16
Dadra And Nagar Haveli,93.1,86.97,2021-11-16
Daman And Diu,93.1,86.97,2021-11-16
Delhi,103.97,86.67,2021-11-16
Goa,96.33,87.22,2021-11-16
Gujarat,95.92,89.91,2021-11-16
